Component 00000000037555,00011-37555,00006-00010-63125,578140679-037555,1343111266-037555,2108081853-0037555,98250326-037555,568364685-00037555,789506856-037555,263446952-0000037555
Component 00000000042033,00003-00005-00004-42033,00003-00001-00007-64968,1508050569-042033,1827491817-042033,2146933065-0042033,1968565568-042033,371359328-00042033,1808844944-042033,1756410340-0000042033
Component 00000000018450,00005-00003-18450,00003-00002-00006-22353,2110045570-018450,1166160702-018450,222275834-0018450,1428786059-018450,1853243105-00018450,1900728493-018450,1976212969-0000018450
Component 00000000031652,00002-00005-00010-31652,00001-00012-21371,1264818347-031652,31617888-031652,945901076-0031652,510396378-031652,233947732-00031652,53254784-031652,1276332040-0000031652
Component 00000000105280,00006-105280,00005-00007-106230,928252865-105280,1269378451-105280,1610504037-0105280,292974610-105280,734830327-00105280,122411817-105280,1161535408-0000105280
Component 00000000056393,00003-00001-00012-56393,00001-00002-00011-96406,522427100-056393,934634728-056393,1346842356-0056393,1187144235-056393,1273589742-00056393,981040421-056393,1175557089-0000056393
Component 00000000080773,00003-00004-80773,00001-00003-00005-37796,1374702968-080773,848128377-080773,321553786-0080773,531897245-080773,1017286553-00080773,1868926364-080773,1608346592-0000080773
Component 00000000100244,00004-00004-00001-100244,00001-00003-00006-14696,866576086-100244,658970842-100244,451365598-0100244,1535139987-100244,425682560-00100244,1638942609-100244,974248251-0000100244
Component 00000000120620,00003-00006-120620,00003-00002-00003-41603,1430989807-120620,1210065870-120620,989141933-0120620,379855274-120620,1484474959-00120620,1564059066-120620,185417086-0000120620
Component 00000000110296,00001-00004-00004-110296,00002-00005-00002-123177,1664680340-110296,1966973485-110296,121782983-0110296,219770520-110296,855788442-00110296,1142365771-110296,1553977291-0000110296
Component 00000000013503,00003-00009-13503,00002-00001-00001-7372,1376759910-013503,740535780-013503,104311650-0013503,584660663-013503,1618297666-00013503,902772728-013503,1751459677-0000013503
Component 00000000086433,00003-00004-00009-86433,00004-00002-00008-72704,820746080-086433,231572260-086433,1789882087-0086433,163103221-086433,961488674-00086433,457690131-086433,1300189735-0000086433
Component 00000000096414,00004-00003-00006-96414,00004-00003-00002-105094,1253514368-096414,15588558-096414,925146395-0096414,1343654699-096414,1090832808-00096414,1962617604-096414,385452131-0000096414
Component 00000000001031,00001-00002-00004-1031,00001-28770,620060297-001031,360989271-001031,101918245-0001031,940017418-001031,87888901-00001031,1069552931-001031,1261212519-0000001031
Component 00000000071226,00001-00001-00012-71226,00004-00006-17595,977620372-071226,1666737737-071226,208371455-0071226,1113816046-071226,1963196515-00071226,1842999187-071226,661408305-0000071226
Component 00000000085974,00004-00005-85974,00004-00001-59840,911200113-085974,1907871477-085974,757059194-0085974,2005121033-085974,1316731507-00085974,1506785351-085974,2049003528-0000085974
Component 00000000011640,00006-00005-11640,00003-00005-00003-78783,1352233536-011640,862735405-011640,373237274-0011640,160152476-011640,460159484-00011640,1478643365-011640,487275617-0000011640
Component 00000000084560,00008-84560,00011-20265,1295132319-084560,1734154239-084560,25692512-0084560,1112858969-084560,1065233016-00084560,893348009-084560,211562590-0000084560
Component 00000000042182,00002-00010-42182,00001-00003-69111,1909944279-042182,753210894-042182,1743961156-0042182,569208105-042182,2057907736-00042182,73832974-042182,896894059-0000042182
Component 00000000036977,00002-00003-00005-36977,00004-00010-46914,1866393755-036977,1611674473-036977,1356955191-0036977,249926813-036977,1523523223-00036977,377286454-036977,1150426090-0000036977
Component 00000000063584,00004-00003-00001-63584,00001-00004-00004-50691,1486392203-063584,207870658-063584,1076832760-0063584,681381210-063584,631537994-00063584,246900159-063584,1308463036-0000063584
Component 00000000071075,00004-00004-71075,00001-00005-00001-13326,207056407-071075,1090876486-071075,1974696565-0071075,1196399122-071075,1072266021-00071075,1828230906-071075,988440086-0000071075
Component 00000000069044,00004-00003-00001-69044,00001-00001-00009-80011,1064637455-069044,1154928431-069044,1245219407-0069044,1148782497-069044,697327617-00069044,1103637009-069044,1827168229-0000069044
Component 00000000090963,00003-00005-00002-90963,00009-76020,447590013-090963,749892778-090963,1052195543-0090963,1150630410-090963,1786600232-00090963,2073220851-090963,985917479-0000090963
Component 00000000107285,00003-00009-107285,00001-00001-38871,1920994232-107285,1351995180-107285,782996128-0107285,94343974-107285,791855587-00107285,378843500-107285,1527058428-0000107285
Component 00000000115831,00001-00002-00001-115831,1436259974,45450681-115831,1797924379-115831,1402914430-0115831,1288562801-115831,1116128899-00115831,412325952-115831,720937650-0000115831
Component 00000000024806,00001-00005-00002-24806,1436259974,545929629-024806,490645351-024806,435361073-0024806,12125793-024806,288547183-00024806,39767932-024806,812005515-0000024806
Component 00000000114600,00003-00005-114600,00002-00001-120107,347371453-114600,1806921237-114600,1118987374-0114600,268575626-114600,1560761294-00114600,1686284381-114600,457741723-0000114600
Component 00000000037289,00004-00005-37289,00004-00005-58994,1844000351-037289,1852078206-037289,1860156061-0037289,1162034495-037289,1121645220-00037289,84253744-037289,1728382911-0000037289
Component 00000000122592,00002-00001-00002-122592,00004-00011-96835,305659222-122592,564026145-122592,822393068-0122592,1025294929-122592,1880943961-00122592,1969853291-122592,1042978819-0000122592
Component 00000000095074,00004-00005-95074,00002-00006-00003-67577,697824291-095074,413592635-095074,129360979-0095074,1944974504-095074,1218649137-00095074,2087090332-095074,1815222987-0000095074
Component 00000000095386,00001-00004-00005-95386,00001-00003-00012-76296,1814860430-095386,1581489770-095386,1348119110-0095386,1233801655-095386,253171308-00095386,1350486985-095386,1904657769-0000095386
Component 00000000060408,00003-00005-00010-60408,00001-00001-00007-85261,721827981-060408,358167349-060408,2141990364-0060408,264156505-060408,2082459665-00060408,445986821-060408,37492552-0000060408
Component 00000000100837,00002-00002-00009-100837,00001-00002-00010-105401,1321529140-100837,1301276284-100837,1281023428-0100837,339265624-100837,440529904-00100837,349392052-100837,609875888-0000100837
Component 00000000072761,00001-00003-72761,00001-00003-00005-60546,963418663-072761,1103883908-072761,1244349153-0072761,259790281-072761,1704947703-00072761,1263299482-072761,882872661-0000072761
Component 00000000009687,00002-00006-00002-9687,00003-00010-24073,1936742552-009687,1298056010-009687,659369468-0009687,1025216323-009687,2071165386-00009687,1344559594-009687,1558974184-0000009687
Component 00000000074381,00001-00006-00008-74381,00002-00003-00007-105892,1456733192-074381,690789449-074381,2072329353-0074381,1889425479-074381,1424176900-00074381,1198655527-074381,986687622-0000074381
Component 00000000065617,00002-00006-00006-65617,00002-00006-00007-107582,1428989573-065617,1122349908-065617,815710243-0065617,515609526-065617,2048807851-00065617,1742671182-065617,1954518357-0000065617
Component 00000000108611,00001-00006-00009-108611,00004-00002-75959,494780340-108611,349988361-108611,205196382-0108611,988562123-108611,1712522018-00108611,2134699936-108611,1193268052-0000108611
Component 00000000074173,00003-00001-00008-74173,00003-00010-100058,39081487-074173,838680544-074173,1638279601-0074173,1238671929-074173,1535643938-00074173,1912614224-074173,951393849-0000074173
Component 00000000112833,00003-00006-112833,00001-70616,1241040353-112833,1314684943-112833,1388329533-0112833,517835674-112833,149612724-00112833,481013379-112833,2119570703-0000112833
Component 00000000039771,00001-00004-00004-39771,00003-00002-00012-1598,662223496-039771,121786715-039771,1728833581-0039771,1294585205-039771,1849285463-00039771,491061772-039771,1838505327-0000039771
Component 00000000075341,00001-00006-75341,00003-00001-00009-9213,1943015449-075341,1185124365-075341,427233281-0075341,1692519874-075341,1187008000-00075341,2071465416-075341,1903164563-0000075341
Component 00000000037527,00002-00009-37527,00001-00005-00004-62326,1414953198-037527,195002305-037527,1122535059-0037527,1303135180-037527,960438704-00037527,839368803-037527,1123974743-0000037527
Component 00000000054069,00004-00001-00002-54069,00003-00001-31318,376125418-054069,1994415175-054069,1465221285-0054069,480025517-054069,978511320-00054069,744622462-054069,1593881935-0000054069
Component 00000000085278,00003-00004-00011-85278,00001-00002-00002-40406,2069493821-085278,901709834-085278,1881409494-0085278,192803450-085278,1736756091-00085278,1850437267-085278,1722654956-0000085278
Component 00000000011843,00003-00006-11843,00004-00002-00003-84464,1294383152-011843,2113011062-011843,784155325-0011843,195647494-011843,397475238-00011843,1933817186-011843,816973459-0000011843
Component 00000000040003,00003-00005-00002-40003,00003-00006-00004-8168,65158617-040003,1509124497-040003,805606730-0040003,1378027093-040003,600648634-00040003,656044153-040003,1528724425-0000040003
Component 00000000069636,00001-00008-69636,00002-00009-96560,2134761894-069636,537996315-069636,1088714383-0069636,927300781-069636,321194088-00069636,651941747-069636,2110747546-0000069636
Component 00000000044817,00002-00003-00006-44817,00006-00005-19375,1217128722-044817,237603186-044817,1405561297-0044817,954780460-044817,1557440846-00044817,1444543228-044817,1779433719-0000044817
Component 00000000119397,00002-00005-00005-119397,00004-00008-7340,1696039058-119397,375143180-119397,1201730949-0119397,2057098385-119397,71643187-00119397,570062677-119397,1602661153-0000119397
Component 00000000032740,00001-00006-32740,00002-00006-00009-51827,1980678339-032740,1906018473-032740,1831358607-0032740,507158485-032740,880457815-00032740,544488418-032740,725953038-0000032740
Component 00000000049634,00004-00004-49634,00003-00006-00006-30673,1771259020-049634,1357333069-049634,943407118-0049634,2096945043-049634,2019091151-00049634,1230166195-049634,1347837088-0000049634
Component 00000000056913,00003-00003-00012-56913,00004-00004-00008-110989,126525600-056913,1453818271-056913,633627295-0056913,1149452557-056913,955440143-00056913,1559548045-056913,1351109316-0000056913
Component 00000000047755,00001-00006-47755,00006-00004-101625,960465437-047755,1353746403-047755,1747027369-0047755,707239465-047755,888318282-00047755,510598982-047755,724132126-0000047755
Component 00000000033578,00003-00006-00012-33578,00004-00001-00005-75314,1710602620-033578,543449923-033578,1523780873-0033578,2012013461-033578,1405326005-00033578,1521847986-033578,1355673262-0000033578
Component 00000000011109,00004-00007-11109,1436259974,1963844423-011109,429325728-011109,1042290680-0011109,1627873537-011109,710532424-00011109,1321391061-011109,1679819059-0000011109
Component 00000000114929,00004-00003-00009-114929,00004-00011-5835,139784795-114929,680390153-114929,1220995511-0114929,589340894-114929,33797751-00114929,319038215-114929,1205581815-0000114929
Component 00000000051775,00003-00009-51775,00004-00005-00011-90634,1533417516-051775,1699942959-051775,1866468402-0051775,2093708737-051775,1261081522-00051775,936704192-051775,1252311952-0000051775
Component 00000000043141,00001-00007-43141,00005-00009-95975,541005558-043141,1098959268-043141,1656912978-0043141,1831956729-043141,1189671826-00043141,1552979874-043141,1389020913-0000043141
Component 00000000091474,00004-00005-00006-91474,00001-00003-00011-90296,334856446-091474,234057488-091474,133258530-0091474,1888557924-091474,245069067-00091474,1938957403-091474,1152705727-0000091474
Component 00000000007348,00003-00005-00003-7348,00004-00005-00008-82129,322110190-007348,971019162-007348,1619928134-0007348,1729424274-007348,632363061-00007348,1404969788-007348,1382633773-0000007348
Component 00000000069836,00001-00004-69836,00002-00005-00010-102177,1088604989-069836,354938141-069836,1768754940-0069836,2012984860-069836,1386351806-00069836,232334637-069836,944221738-0000069836
Component 00000000039150,00006-00007-39150,1436259974,28280895-039150,281321288-039150,534361681-0039150,489579897-039150,1371861579-00039150,1436801524-039150,1444544429-0000039150
Component 00000000026691,00001-00002-26691,00004-00004-00009-5989,1954701630-026691,1254315629-026691,553929628-0026691,1271977110-026691,478939821-00026691,548428287-026691,230209916-0000026691
Component 00000000015556,00001-00002-00008-15556,00004-00001-64845,2140457412-015556,728728925-015556,1464484085-0015556,1317360673-015556,1933552167-00015556,949483093-015556,1777472800-0000015556
Component 00000000088020,00002-00010-88020,00006-117130,1337947620-088020,1067279051-088020,796610482-0088020,21682082-088020,1375024927-00088020,1230758190-088020,945161506-0000088020
Component 00000000121624,00004-00006-00009-121624,00003-00002-69695,1940972689-121624,606528025-121624,1419567008-0121624,1644915895-121624,1874688274-00121624,164654580-121624,1356996345-0000121624
Component 00000000121402,00002-00001-00008-121402,00007-63525,1101027769-121402,196368813-121402,1439193504-0121402,174741343-121402,403068829-00121402,627070821-121402,1753871561-0000121402
Component 00000000037069,00004-00004-00006-37069,00004-00006-00007-49524,1929485521-037069,784819325-037069,1787636776-0037069,100266190-037069,1528629876-00037069,672599288-037069,15038208-0000037069
