Component 00000000046420,00003-00010-46420,00001-64260,1848325235-046420,1852590989-046420,1856856743-0046420,2055214304-046420,2033885534-00046420,2053081427-046420,1844294423-0000046420
Component 00000000034099,00004-00002-34099,00002-00001-00011-89867,168685463-034099,1070420254-034099,1972155045-0034099,2026891710-034099,1813185049-00034099,502282491-034099,1873013886-0000034099
Component 00000000077318,00003-00003-00007-77318,00003-00002-00001-64598,1528592445-077318,544023006-077318,1706937214-0077318,2095356711-077318,575752965-00077318,1513899607-077318,1310557450-0000077318
Component 00000000068418,00003-00012-68418,00005-00002-62480,1173612655-068418,921432796-068418,669252937-0068418,754049552-068418,2014948847-00068418,1953881305-068418,1710130846-0000068418
Component 00000000036024,00004-00002-00001-36024,00004-00004-00006-20234,414383813-036024,1475496826-036024,389126192-0036024,1412499239-036024,401901468-00036024,1955684556-036024,719651261-0000036024
Component 00000000121857,00002-00001-00008-121857,00003-00002-00009-44508,880975041-121857,93998126-121857,1454504858-0121857,293558486-121857,2080959414-00121857,1760788767-121857,298954404-0000121857
Component 00000000095979,00004-00002-95979,00001-00004-00012-92936,1359401091-095979,297063548-095979,1382209652-0095979,301895960-095979,1318616381-00095979,1906806555-095979,1626113323-0000095979
Component 00000000093396,00001-00002-00004-93396,00004-00003-00012-20604,1200307658-093396,1973807300-093396,599823295-0093396,60334649-093396,487803733-00093396,1821068475-093396,994443675-0000093396
Component 00000000067539,00004-00003-00004-67539,00003-00004-00006-37888,1083780817-067539,828745489-067539,573710161-0067539,1599469291-067539,727162284-00067539,1726986955-067539,232072486-0000067539
Component 00000000075804,00004-00001-00001-75804,00004-00005-00004-119929,2101140280-075804,1852060291-075804,1602980302-0075804,1831920872-075804,929837170-00075804,882719043-075804,1065822015-0000075804
Component 00000000011101,00001-00006-00012-11101,00003-00006-00004-63678,1833400379-011101,72049195-011101,458181658-0011101,159730188-011101,376551520-00011101,1040405780-011101,1917287976-0000011101
Component 00000000039661,00001-00006-00011-39661,00004-00003-00008-122104,1905958389-039661,1547474146-039661,1188989903-0039661,625599956-039661,270537524-00039661,1878583901-039661,1187399155-0000039661
Component 00000000112104,00004-00006-00005-112104,00005-00011-50230,1962112774-112104,2101971164-112104,94345907-0112104,155310101-112104,1603501798-00112104,85380906-112104,1418628513-0000112104
Component 00000000047735,00002-00012-47735,00002-00006-00010-101072,2125187377-047735,1346007797-047735,566828217-0047735,842199746-047735,443130352-00047735,1231789536-047735,1717502758-0000047735
Component 00000000103621,00001-00011-103621,00004-00001-00009-59809,485945336-103621,193860351-103621,2049259013-0103621,278467269-103621,1738892194-00103621,1498251585-103621,91189054-0000103621
Component 00000000115820,00005-00003-115820,00001-00001-00008-30766,1611551670-115820,386546830-115820,1309025637-0115820,180875399-115820,2010932305-00115820,793377819-115820,835884596-0000115820
Component 00000000112957,00002-00005-112957,00001-00004-55111,1701520501-112957,1628958345-112957,1556396189-0112957,329739582-112957,692550362-00112957,366020660-112957,1812413098-0000112957
Component 00000000000892,00002-00003-00008-892,00003-00005-00003-1433,1078019976-000892,1080437489-000892,1082855002-0000892,121527533-000892,109439968-00000892,1194060600-000892,1947739765-0000000892
Component 00000000047565,00011-47565,00003-00005-00005-96283,938645798-047565,695140353-047565,451634908-0047565,939791774-047565,9835352-00047565,2135286320-047565,1301967039-0000047565
Component 00000000090900,00005-00004-90900,00004-00006-74269,718038160-090900,837477563-090900,956916966-0090900,1142140088-090900,544943073-00090900,8678563-090900,1495531004-0000090900
Component 00000000017928,00003-00001-00001-17928,00003-00003-00003-7738,1143054889-017928,1810604665-017928,330670794-0017928,1306964320-017928,116699087-00017928,973189432-017928,1297280731-0000017928
Component 00000000010317,00002-00006-00008-10317,00001-00006-00009-41726,831057766-010317,749136147-010317,667214528-0010317,79084715-010317,488692810-00010317,1193787348-010317,1450830462-0000010317
Component 00000000093516,00001-00003-00007-93516,00003-00004-23950,1412078718-093516,819952885-093516,227827052-0093516,1685005052-093516,350666923-00093516,907326145-093516,1829660055-0000093516
Component 00000000079230,00004-00008-79230,00003-00004-00012-118143,1981832297-079230,393990352-079230,953632054-0079230,1207167433-079230,556442570-00079230,927346582-079230,405355689-0000079230
Component 00000000080822,00002-00001-80822,00002-00003-00004-39147,1692671613-080822,1479829346-080822,1266987079-0080822,1033498075-080822,2097709410-00080822,66177385-080822,1353433937-0000080822
Component 00000000010679,00004-00004-00006-10679,00002-00006-00009-51827,1852224695-010679,367262468-010679,1029783888-0010679,1772258860-010679,607135407-00010679,1440998150-010679,1351955923-0000010679
Component 00000000116799,00004-00004-00007-116799,00002-00003-00003-58152,1073568644-116799,1004093962-116799,934619280-0116799,1999013861-116799,198903624-00116799,2033751202-116799,164804205-0000116799
Component 00000000103169,00004-00003-00001-103169,00004-00005-00004-47129,738432793-103169,1026209547-103169,1313986301-0103169,1810703480-103169,371819710-00103169,1666815103-103169,31610674-0000103169
Component 00000000056496,00001-00006-00011-56496,00001-00003-00010-99291,1980883410-056496,1971985694-056496,1963087978-0056496,1549344184-056496,1593832764-00056496,1553793042-056496,690085199-0000056496
Component 00000000026176,00001-00003-00007-26176,00003-00004-00005-115133,2067097918-026176,1271050648-026176,475003378-0026176,2113510969-026176,1798780025-00026176,364050957-026176,33238735-0000026176
Component 00000000102814,00004-00005-00010-102814,00003-00001-00007-37213,964371035-102814,1991105144-102814,870355606-0102814,295109617-102814,1603890013-00102814,855484386-102814,1863289834-0000102814
Component 00000000075311,00001-00005-00002-75311,,1920643175-075311,1789764793-075311,1658886411-0075311,2015492589-075311,522400852-00075311,2080931780-075311,1605428071-0000075311
Component 00000000004964,00004-00001-00011-4964,00003-00002-15353,740451585-004964,276287424-004964,1959606910-0004964,777068070-004964,950405228-00004964,2082891974-004964,1847706320-0000004964
Component 00000000079950,00003-79950,00005-00011-14740,60545691-079950,1170636582-079950,133243826-0079950,1286604553-079950,31117392-00079950,1805300931-079950,1257617399-0000079950
Component 00000000109931,00001-00003-00003-109931,00004-00002-00010-112954,378188164-109931,44878060-109931,1859051603-0109931,1392517296-109931,911584169-00109931,1559172348-109931,446380374-0000109931
Component 00000000011500,00006-00008-11500,00004-00003-74854,41460337-011500,208208846-011500,374957355-0011500,612570259-011500,1926311361-00011500,1602937828-011500,494088097-0000011500
Component 00000000047961,00001-00004-00004-47961,00002-00003-00004-107397,1253298739-047961,787415781-047961,321532823-0047961,132811746-047961,314742889-00047961,365753225-047961,850563988-0000047961
Component 00000000020595,00001-00003-20595,00001-00011-82405,1754106510-020595,218308302-020595,829993741-0020595,282337420-020595,1518877519-00020595,1050236524-020595,1166453767-0000020595
Component 00000000064004,00004-00003-00005-64004,00003-00011-62450,1795583376-064004,973524474-064004,151465572-0064004,580432275-064004,395759491-00064004,991461726-064004,1682954750-0000064004
Component 00000000074597,00002-00005-00003-74597,00001-00004-00011-111941,696778255-074597,1489262836-074597,134263770-0074597,1551316611-074597,1883861000-00074597,81332497-074597,346362769-0000074597
Component 00000000054350,00002-00010-54350,00003-00001-39208,534319888-054350,1426245278-054350,170687021-0054350,843028363-054350,678368707-00054350,397065668-054350,440649864-0000054350
Component 00000000025157,00002-00006-00002-25157,00003-00005-00011-40493,94366181-025157,1745283599-025157,1248717370-0025157,706966015-025157,1042313513-00025157,2028990953-025157,1361300244-0000025157
Component 00000000021695,00002-00011-21695,00003-00009-113200,785987263-021695,2100122959-021695,1266775008-0021695,97059109-021695,2116315217-00021695,1587474908-021695,29102300-0000021695
Component 00000000119377,00002-00006-00011-119377,00002-00006-00005-6817,1475345146-119377,1796423611-119377,2117502076-0119377,941523346-119377,1483614668-00119377,1854725937-119377,1689874287-0000119377
Component 00000000041209,00004-00012-41209,00004-00003-00002-41849,2087158109-041209,1931531219-041209,1775904329-0041209,981704885-041209,1759839335-00041209,1059518330-041209,155390005-0000041209
Component 00000000095292,00002-00001-00002-95292,00002-00005-00003-73687,1221359001-095292,1783259557-095292,197676466-0095292,556248556-095292,2041713070-00095292,275298278-095292,1863754681-0000095292
Component 00000000006928,00003-00005-00012-6928,00001-00002-70371,1434301804-006928,286544467-006928,1286270777-0006928,528903958-006928,1972723349-00006928,29040803-006928,849072525-0000006928
Component 00000000089413,00003-00002-00012-89413,00002-00006-00012-32577,50271406-089413,1114339640-089413,30924227-0089413,117973227-089413,1240082998-00089413,1733422757-089413,1535688472-0000089413
Component 00000000091584,00004-00003-00012-91584,00002-00003-00005-93397,1481674545-091584,2122719503-091584,616280814-0091584,360100303-091584,1449842807-00091584,39577824-091584,971040859-0000091584
Component 00000000111516,00001-00006-00002-111516,00004-00006-33774,994979007-111516,996444254-111516,997909501-0111516,2139785310-111516,2132459075-00111516,1065310863-111516,768228578-0000111516
Component 00000000000330,00001-00005-330,00002-00005-00004-9182,1203898591-000330,2084684597-000330,817986956-0000330,972346942-000330,863384206-00000330,531953939-000330,2097347980-0000000330
Component 00000000118546,00001-00001-00012-118546,00004-00001-00004-107059,984951184-118546,581685603-118546,178420022-0118546,1827665152-118546,1696509410-00118546,955556119-118546,1676883895-0000118546
Component 00000000004347,00002-00005-4347,00002-00003-00001-121642,732097944-004347,1383668577-004347,2035239210-0004347,1194760763-004347,84391245-00004347,1942717270-004347,1967747732-0000004347
Component 00000000023425,00003-00012-23425,00003-00002-38103,970499267-023425,476958115-023425,2130900610-0023425,656073512-023425,976295625-00023425,902844088-023425,531754706-0000023425
Component 00000000086659,00004-00006-00001-86659,00004-00006-00002-79029,1678915374-086659,1780060050-086659,1881204726-0086659,141981219-086659,1783741486-00086659,91408881-086659,324372180-0000086659
Component 00000000111571,00001-00005-00005-111571,00004-00006-35340,971635936-111571,1719759492-111571,320399401-0111571,748406403-111571,1302755917-00111571,374344625-111571,1907935030-0000111571
Component 00000000099650,00005-00005-99650,00002-00005-00006-72182,1679848767-099650,803687201-099650,2075009282-0099650,2135685756-099650,74042645-00099650,426282892-099650,80326828-0000099650
Component 00000000101527,00002-00006-00010-101527,00004-00012-1169,38235360-101527,1745794360-101527,1305869713-0101527,1250468274-101527,1302607862-00101527,396688774-101527,1198881550-0000101527
Component 00000000031732,00002-00001-00012-31732,00001-00003-23611,1389208114-031732,622404766-031732,2003085065-0031732,706467735-031732,245517181-00031732,1089869409-031732,867365973-0000031732
Component 00000000023128,00003-00001-23128,00002-00002-00008-29752,639359244-023128,902643107-023128,1165926970-0023128,1597466541-023128,281047226-00023128,392082786-023128,1889850777-0000023128
Component 00000000077020,00006-00008-77020,00003-00003-00010-56248,1064804539-077020,1805298544-077020,398308902-0077020,1545283606-077020,2137780875-00077020,101294780-077020,1824331581-0000077020
Component 00000000065390,00003-65390,00001-00006-00008-101226,619961433-065390,1185373932-065390,1750786431-0065390,1198922047-065390,519343199-00065390,1989957621-065390,421637804-0000065390
Component 00000000003488,00003-00002-00004-3488,00003-00008-97573,889496827-003488,1161455722-003488,1433414617-0003488,120859529-003488,908548701-00003488,1058621905-003488,184687404-0000003488
Component 00000000043403,00003-00003-00009-43403,00004-00003-00007-103344,837554620-043403,1858717000-043403,732395733-0043403,971806169-043403,160961563-00043403,461224979-043403,1359288953-0000043403
Component 00000000119084,00004-00004-119084,00004-00005-00012-122134,1084338299-119084,2124132655-119084,1016443364-0119084,2122240684-119084,1218236198-00119084,1602343506-119084,1081930503-0000119084
Component 00000000043621,00001-00004-00006-43621,00003-00006-00002-109423,593443758-043621,186704217-043621,1927448323-0043621,1267670666-043621,1153884724-00043621,397298613-043621,845762625-0000043621
Component 00000000032993,00003-00002-00012-32993,00003-00008-58950,231046716-032993,1580537376-032993,782544389-0032993,1256834316-032993,951831957-00032993,582088986-032993,1298781851-0000032993
Component 00000000071424,00004-00003-00002-71424,00004-00002-23090,1665754956-071424,1920927618-071424,28616633-0071424,1156727181-071424,2028347518-00071424,1029140850-071424,1963009141-0000071424
Component 00000000002203,00003-00005-00006-2203,00001-00001-61621,283725515-002203,1099545291-002203,1915365067-0002203,1196279005-002203,1412147419-00002203,788369117-002203,1179677509-0000002203
Component 00000000039524,00004-00002-00004-39524,00004-00004-00012-118234,635830548-039524,1910632800-039524,1037951405-0039524,186714007-039524,255153688-00039524,1696796528-039524,2088204715-0000039524
Component 00000000093681,00001-00003-93681,00004-00001-00006-28554,210851641-093681,2112588851-093681,1866842414-0093681,103309505-093681,1332041690-00093681,1299924547-093681,576094113-0000093681
