Component 00000000011892,00002-00006-00010-11892,00003-85813,765188718-011892,1019854467-011892,1274520216-0011892,1305317486-011892,31988741-00011892,104242788-011892,1143141531-0000011892
Component 00000000110804,00004-00001-00005-110804,00004-00003-00004-13849,1332810360-110804,525440676-110804,1865554639-0110804,830086332-110804,571967458-00110804,1233771174-110804,302397414-0000110804
Component 00000000109336,00001-00003-00006-109336,00004-00001-00010-96314,280632875-109336,1775089296-109336,1122062070-0109336,821067119-109336,1938719602-00109336,1147580732-109336,371255065-0000109336
Component 00000000025218,00003-00004-00011-25218,00001-00005-00009-88331,1611071000-025218,1301943180-025218,992815360-0025218,1650757259-025218,1048912712-00025218,1805321169-025218,1811560070-0000025218
Component 00000000078294,00004-00006-00008-78294,00003-00006-91923,612123802-078294,548456650-078294,484789498-0078294,1819234224-078294,2137569984-00078294,1851067800-078294,1411170118-0000078294
Component 00000000021646,00001-00002-00001-21646,00004-00003-00010-111849,1263825710-021646,1421811180-021646,1579796650-0021646,336186417-021646,1693742714-00021646,257193682-021646,1577128901-0000021646
Component 00000000104056,00001-00001-00004-104056,00002-00012-71967,1505662928-104056,805810839-104056,105958750-0104056,848833140-104056,53126291-00104056,125017361-104056,648058490-0000104056
Component 00000000119568,00003-00001-00007-119568,00001-00005-12160,833213517-119568,1356195769-119568,1879178021-0119568,428048975-119568,2108105009-00119568,166557849-119568,1958642362-0000119568
Component 00000000002285,00003-00010-2285,00003-00006-00002-63923,1858758452-002285,1633365849-002285,1407973246-0002285,590893618-002285,1717856633-00002285,1777331743-002285,2062467209-0000002285
Component 00000000052892,00002-00008-52892,00004-00002-00009-121949,1998276676-052892,478219711-052892,1105646393-0052892,216216048-052892,1374049932-00052892,2049986354-052892,1284599645-0000052892
Component 00000000032240,00005-32240,00003-00002-00002-37858,264777691-032240,1667015761-032240,921770184-0032240,1701331029-032240,1132591620-00032240,1000211994-032240,1050025153-0000032240
Component 00000000030296,00001-00006-30296,00002-00003-106967,1201816747-030296,1731545843-030296,113791292-0030296,1123874139-030296,622712306-00030296,859009591-030296,1087814401-0000030296
Component 00000000017822,00002-00012-17822,00001-00001-00003-4761,72837073-017822,189862711-017822,306888349-0017822,1453613222-017822,868485032-00017822,1395100403-017822,1313914413-0000017822
Component 00000000079231,00001-00005-00009-79231,00003-00006-00003-118173,1120632145-079231,2101172967-079231,934230142-0079231,1432221778-079231,824484962-00079231,941951367-079231,182907797-0000079231
Component 00000000119659,00004-00001-00007-119659,00003-00006-00001-14678,1253228355-119659,340322530-119659,1574900352-0119659,1000710606-119659,1270272437-00119659,383421695-119659,2130887946-0000119659
Component 00000000106476,00001-00006-00006-106476,00002-00003-00009-23292,342977305-106476,720716749-106476,1098456193-0106476,1483471163-106476,1742257590-00106476,1294601441-106476,1115850026-0000106476
Component 00000000000162,00002-00001-00006-162,00003-00009-4455,173757165-000162,986858381-000162,1799959597-0000162,954460495-000162,1183921709-00000162,547909887-000162,1005865268-0000000162
Component 00000000031140,00004-00005-31140,00004-00006-00001-7034,1430547295-031140,1709084639-031140,1987621983-0031140,2054706597-031140,662019877-00031140,1915437925-031140,1174213439-0000031140
Component 00000000083714,00004-00001-00007-83714,00002-00001-120107,1050338508-083714,1809326898-083714,420831641-0083714,1354053424-083714,1854078768-00083714,974559229-083714,1399815576-0000083714
Component 00000000032509,00004-00001-00009-32509,00001-00002-00002-45411,876955552-032509,8055503-032509,1286639101-0032509,611234292-032509,660767243-00032509,2119426140-032509,967641073-0000032509
Component 00000000120793,00003-00001-00010-120793,00003-00006-46423,644463393-120793,223767379-120793,1950555012-0120793,1715543184-120793,1671539607-00120793,1925891191-120793,2018005643-0000120793
Component 00000000118294,00004-00001-00007-118294,00004-00006-00007-100029,390722753-118294,1008496930-118294,1626271107-0118294,1361741103-118294,420353865-00118294,2126595838-118294,619974128-0000118294
Component 00000000041044,00004-00003-00003-41044,00004-00004-00012-37244,332884040-041044,1650411071-041044,820454455-0041044,882177457-041044,736993243-00041044,1297155765-041044,1853559719-0000041044
Component 00000000008974,00004-00004-8974,00002-00001-00009-4117,971856240-008974,258646548-008974,1692920503-0008974,740924530-008974,12005696-00008974,1097529376-008974,567012431-0000008974
Component 00000000113164,00004-00002-00012-113164,00003-00004-00003-79888,1102874738-113164,347355167-113164,1739319243-0113164,2041139367-113164,1523769928-00113164,1345157329-113164,1909861171-0000113164
Component 00000000015983,00003-00002-00006-15983,00002-00006-76817,1600067180-015983,683581315-015983,1914579097-0015983,1173917491-015983,1461379522-00015983,558418600-015983,1555847232-0000015983
Component 00000000122889,00004-00004-122889,00002-00003-105157,1347756001-122889,879409849-122889,411063697-0122889,107804099-122889,302051212-00122889,341977175-122889,557236333-0000122889
Component 00000000060640,00006-00008-60640,00003-91770,1646868727-060640,267147275-060640,1034909470-0060640,1302371362-060640,1758527681-00060640,1992232088-060640,1690054291-0000060640
Component 00000000088692,00002-00002-00006-88692,00001-00003-12405,1173876599-088692,592840842-088692,11805085-0088692,1984671619-088692,594883110-00088692,1201447674-088692,536860832-0000088692
Component 00000000063001,00001-00001-00003-63001,00002-00006-00007-34327,741130474-063001,234234558-063001,1874822289-0063001,1926482312-063001,165994598-00063001,32446623-063001,831720716-0000063001
Component 00000000104029,00004-00002-00003-104029,00003-00012-71200,929644464-104029,2083729140-104029,1090330169-0104029,1068176428-104029,1740203989-00104029,491134090-104029,1516313349-0000104029
Component 00000000053823,00003-00003-53823,00001-00004-00001-24441,986560265-053823,1806975661-053823,479907410-0053823,2122001325-053823,167407992-00053823,1711793627-053823,517858250-0000053823
Component 00000000083031,00001-00004-83031,00001-00001-00001-101011,995293935-083031,1569521155-083031,2143748375-0083031,928026694-083031,204374241-00083031,640913084-083031,1670673431-0000083031
Component 00000000086562,00002-00008-86562,00001-00005-00003-76326,957828666-086562,206143807-086562,1601942595-0086562,2082076827-086562,1545533828-00086562,1384177433-086562,2126185184-0000086562
Component 00000000058154,00004-00005-00005-58154,00003-00004-00012-22138,1707040563-058154,1346239771-058154,985438979-0058154,1388071327-058154,1044591640-00058154,1568471723-058154,1586324784-0000058154
Component 00000000045450,00006-00002-45450,00004-00001-37090,271100213-045450,1203613576-045450,2136126939-0045450,1474583555-045450,1106984034-00045450,2082068697-045450,492753265-0000045450
Component 00000000121766,00001-00001-00008-121766,00002-00002-44382,611522138-121766,1854002259-121766,948998733-0121766,1816007714-121766,2046058050-00121766,121025830-121766,985587124-0000121766
Component 00000000060331,00001-00005-00011-60331,00002-00002-00001-95447,1246666171-060331,2083898559-060331,773647300-0060331,1050247696-060331,1159053050-00060331,631631502-060331,1584350304-0000060331
Component 00000000072977,00002-00002-00008-72977,00004-00003-00008-66594,1638136483-072977,1693257644-072977,1748378805-0072977,1090287321-072977,814681516-00072977,2136468564-072977,1065433078-0000072977
Component 00000000120877,00002-00001-00003-120877,00003-00005-00012-48788,2046430080-120877,872035482-120877,1845124531-0120877,922866899-120877,352388948-00120877,1510064198-120877,96950489-0000120877
Component 00000000035470,00001-00006-35470,00005-00011-4730,1563973205-035470,576126037-035470,1735762516-0035470,898025791-035470,1542294337-00035470,1391949375-035470,2109892574-0000035470
Component 00000000015317,00002-00001-00003-15317,00002-00005-00007-58182,1750647822-015317,196157439-015317,789150703-0015317,446050068-015317,1776051042-00015317,149553436-015317,723036130-0000015317
Component 00000000039066,00001-00006-00001-39066,00001-00002-00010-105401,25843355-039066,1289545495-039066,405763988-0039066,1185855029-039066,1309795270-00039066,554003959-039066,1797677828-0000039066
Component 00000000113744,00004-00001-00007-113744,00001-00004-00004-96191,199451297-113744,475482875-113744,751514453-0113744,702080948-113744,1469406705-00113744,564065159-113744,1295091886-0000113744
Component 00000000001161,00001-00006-00004-1161,00003-00006-00001-32423,1586920682-001161,598784074-001161,1758131113-0001161,906935428-001161,1552651174-00001161,1401003732-001161,700369382-0000001161
Component 00000000018654,00004-00006-00012-18654,00004-00002-28095,1398870393-018654,1282218383-018654,1165566373-0018654,36215202-018654,619475252-00018654,94541207-018654,2104589024-0000018654
Component 00000000065677,00002-00003-00001-65677,00005-109270,934785082-065677,220627656-065677,1653953877-0065677,657888273-065677,2081191756-00065677,1014966986-065677,681265991-0000065677
Component 00000000098442,00002-00001-00006-98442,00003-00007-38318,2103725603-098442,450329328-098442,944416700-0098442,297159381-098442,2121689815-00098442,50115695-098442,1310946019-0000098442
Component 00000000056108,00003-00003-56108,00004-00011-88424,1441698189-056108,1446931158-056108,1452164127-0056108,621755362-056108,595590517-00056108,1692880701-056108,791374728-0000056108
Component 00000000097071,00001-00002-97071,00004-00004-00010-123484,163396670-097071,1905454261-097071,1500028205-0097071,1975069424-097071,1854716057-00097071,30298805-097071,1122789174-0000097071
Component 00000000047703,00003-00005-00006-47703,00001-00004-00003-100181,1981866342-047703,1972816732-047703,1963767122-0047703,1542960257-047703,1588208307-00047703,1547485062-047703,379286019-0000047703
Component 00000000115625,00006-00003-115625,00004-00006-00010-25269,819962631-115625,1122675482-115625,1425388333-0115625,1542892199-115625,29327944-00115625,317793950-115625,681817032-0000115625
Component 00000000032273,00003-00003-00007-32273,00001-00006-00002-38716,1650668337-032273,687542504-032273,1871900318-0032273,1109963847-032273,1630625718-00032273,517784940-032273,52264669-0000032273
Component 00000000054108,00003-00005-00002-54108,00003-00006-00001-32423,1753780788-054108,1597038065-054108,1440295342-0054108,1667951487-054108,304181455-00054108,672581025-054108,29303832-0000054108
Component 00000000069571,00001-00005-00008-69571,00004-00006-00009-94779,540228757-069571,1426355813-069571,164999222-0069571,567718033-069571,432050047-00069571,124654505-069571,332460381-0000069571
Component 00000000099501,00001-00003-00012-99501,00001-00001-00003-68006,1058939802-099501,398978186-099501,1886500217-0099501,1263056131-099501,267896917-00099501,1593036939-099501,1243432376-0000099501
Component 00000000008773,00003-00002-00011-8773,00001-00001-00006-122011,445298491-008773,1529620098-008773,466458058-0008773,421547079-008773,1442389985-00008773,953128099-008773,720628124-0000008773
Component 00000000086526,00001-00006-00011-86526,00003-00005-75283,542849332-086526,151144987-086526,1906924289-0086526,1946283246-086526,1757321324-00086526,1068393595-086526,1273554584-0000086526
Component 00000000028533,00003-00001-00011-28533,00004-00003-00009-57599,1409902856-028533,1450888546-028533,1491874236-0028533,1250225174-028533,1045296724-00028533,1229732329-028533,1070401-0000028533
Component 00000000114798,00003-00005-00008-114798,00001-00002-2121,958542554-114798,249073167-114798,1687087427-0114798,1982757460-114798,1235137101-00114798,1263750330-114798,964743304-0000114798
Component 00000000053008,00003-00004-00007-53008,00004-00005-00004-1629,340238567-053008,868205943-053008,1396173319-0053008,176852539-053008,1831982953-00053008,2060352498-053008,1926857792-0000053008
Component 00000000034799,00004-00002-00011-34799,00001-00006-109486,642028303-034799,1604613622-034799,419715294-0034799,1156517864-034799,638558563-00034799,1748967028-034799,1091087689-0000034799
Component 00000000084824,00004-00005-00012-84824,00004-27664,535799245-084824,627978878-084824,720158511-0084824,1785285975-084824,1324387810-00084824,665454335-084824,530583501-0000084824
Component 00000000116982,00002-00005-00008-116982,00003-00003-00003-63248,1188541181-116982,666317044-116982,144092907-0116982,556732477-116982,1020369515-00116982,1891586369-116982,386545761-0000116982
Component 00000000113564,00004-00003-00009-113564,00001-00002-91156,1188653991-113564,1295381711-113564,1402109431-0113564,2069981117-113564,1536342517-00113564,2016617257-113564,163236762-0000113564
Component 00000000112105,00006-112105,00001-00001-00003-50261,988332717-112105,1243915568-112105,1499498419-0112105,1572940932-112105,295026677-00112105,371407683-112105,1027924385-0000112105
Component 00000000060901,00001-00001-00009-60901,00002-00006-00004-99077,855111106-060901,491607817-060901,128104528-0060901,1478812589-060901,1148845387-00060901,586822410-060901,1956294665-0000060901
Component 00000000095450,00005-00004-95450,00003-00002-00004-78108,2004356359-095450,896339579-095450,1935806446-0095450,1952633704-095450,1050266663-00095450,359158447-095450,1227007958-0000095450
Component 00000000109000,00003-00008-109000,00003-00004-00009-86888,1184560242-109000,1591862523-109000,1999164804-0109000,537626224-109000,648598466-00109000,1407716907-109000,1426921939-0000109000
Component 00000000058719,00004-00003-00011-58719,00001-00006-00008-37981,850847473-058719,904079621-058719,957311769-0058719,1285123004-058719,1018962264-00058719,1258506930-058719,745065785-0000058719
