Component 00000000053045,00006-00005-53045,00004-00009-2674,746050180-053045,1559123691-053045,224713555-0053045,451667994-053045,681267733-00053045,1118873062-053045,866444384-0000053045
Component 00000000086121,00001-00009-86121,00001-00003-00005-118786,894831643-086121,703988981-086121,513146319-0086121,228897124-086121,1183110434-00086121,324318455-086121,385959603-0000086121
Component 00000000089854,00004-00002-00011-89854,00004-00002-00008-44949,1174682925-089854,1789270580-089854,256374588-0089854,1991154958-089854,1065700330-00089854,610119307-089854,2116622366-0000089854
Component 00000000116955,00006-00007-116955,00001-00003-00011-62541,1738019920-116955,1102165539-116955,466311158-0116955,2037595323-116955,921899934-00116955,1281780690-116955,546450306-0000116955
Component 00000000102599,00004-00003-102599,00003-00008-31195,1830176453-102599,1999304865-102599,20949630-0102599,1442969847-102599,597327787-00102599,1358405641-102599,1737950725-0000102599
Component 00000000022520,00001-00004-22520,00004-00006-00008-12774,1487811689-022520,1007167818-022520,526523947-0022520,725162239-022520,980897947-00022520,2039225998-022520,517645477-0000022520
Component 00000000033584,00004-00005-00005-33584,00003-00001-00003-75468,2088123009-033584,100447116-033584,260254870-0033584,1248864490-033584,449825720-00033584,1168960613-033584,787448-0000033584
Component 00000000029637,00002-00006-00010-29637,00011-88515,1423603793-029637,145229648-029637,1014339150-0029637,625741700-029637,575161484-00029637,191186949-029637,1318998019-0000029637
Component 00000000084899,00004-00003-00009-84899,00002-00002-00008-29752,1809858693-084899,947633353-084899,85408013-0084899,794118996-084899,810278402-00084899,1225231666-084899,34671825-0000084899
Component 00000000036949,00004-00003-00003-36949,00001-00002-00009-46146,1940857249-036949,1880239480-036949,1819621711-0036949,74637276-036949,377726121-00036949,1178687984-036949,810092638-0000036949
Component 00000000073682,00002-00011-73682,00004-00002-86335,1466105054-073682,569730593-073682,1820839779-0073682,2015358459-073682,54779823-00073682,1389803866-073682,1247129982-0000073682
Component 00000000065058,00003-00006-65058,00003-00006-91923,170430163-065058,59603662-065058,2096260808-0065058,164053982-065058,718186487-00065058,1293209056-065058,735329758-0000065058
Component 00000000049459,00004-00004-00007-49459,00002-00006-00004-25822,54838315-049459,183648940-049459,312459565-0049459,933444510-049459,289391385-00049459,1942781021-049459,2122449361-0000049459
Component 00000000109544,00004-00001-00006-109544,00003-00004-00007-102148,1208191335-109544,452412529-109544,1844117370-0109544,1060141243-109544,544067979-00109544,1438030646-109544,221922787-0000109544
Component 00000000077101,00001-00003-00011-77101,00004-00004-00002-58489,279577947-077101,1899132725-077101,1371203856-0077101,1518573388-077101,2010734086-00077101,708795999-077101,1836702543-0000077101
Component 00000000058855,00006-00004-58855,00003-00010-41818,1067556717-058855,2058149017-058855,901257670-0058855,1866643033-058855,1208648827-00058855,1371346883-058855,985246404-0000058855
Component 00000000057282,00002-00001-00004-57282,00004-00006-00010-121274,279806689-057282,2819303-057282,1873315564-0057282,1878303997-057282,1115757280-00057282,2016797690-057282,1886979987-0000057282
Component 00000000078878,00003-00002-00007-78878,00001-00006-00001-108226,1671635137-078878,1577975769-078878,1484316401-0078878,1424123083-078878,1892419923-00078878,1470952767-078878,350206101-0000078878
Component 00000000083201,00001-00006-00001-83201,00004-00006-00001-105769,1835600317-083201,2095550390-083201,208016816-0083201,484535152-083201,1332268434-00083201,1428301939-083201,676095407-0000083201
Component 00000000003558,00003-00002-00009-3558,00004-00001-00002-99569,695649984-003558,7838475-003558,1467510613-0003558,622788326-003558,1914362224-00003558,2040435904-003558,888359476-0000003558
Component 00000000054493,00003-00005-00010-54493,00003-00001-43200,1968742383-054493,1956362635-054493,1943982887-0054493,1368324605-054493,1430223345-00054493,1374514479-054493,921509719-0000054493
Component 00000000002614,00004-00003-00001-2614,00003-00002-00004-73103,466658365-002614,666660214-002614,866662063-0002614,503071630-002614,1650546032-00002614,1476812529-002614,495873030-0000002614
Component 00000000064661,00001-00002-00012-64661,00002-00002-80810,1987708375-064661,574784409-064661,1309344090-0064661,32889081-064661,655057970-00064661,739351064-064661,1813870243-0000064661
Component 00000000085913,00003-00002-00009-85913,00002-00003-00003-58152,858606499-085913,1401817575-085913,1945028651-0085913,1434539921-085913,865968188-00085913,1162934383-085913,364451659-0000085913
Component 00000000081943,00003-00001-00004-81943,00002-00004-70555,2005178727-081943,834918621-081943,1812142162-0081943,1082138408-081943,490987997-00081943,1667268461-081943,2069431836-0000081943
Component 00000000032207,00002-00006-32207,00001-00004-00003-36936,1485339332-032207,1633006651-032207,1780673970-0032207,1131011539-032207,392674944-00032207,2130919703-032207,284439844-0000032207
Component 00000000054765,00004-00009-54765,00004-00001-00010-50814,1780918996-054765,1342820693-054765,904722390-0054765,934245947-054765,977253815-00054765,79553275-054765,328197696-0000054765
Component 00000000031317,00002-00006-31317,00002-00002-00008-12007,2119539940-031317,23177062-031317,74297831-0031317,1377671766-031317,1122067921-00031317,278369558-031317,673553033-0000031317
Component 00000000052775,00002-00008-52775,00004-00005-00009-118634,899553298-052775,2104855824-052775,1162674703-0052775,1374667340-052775,1790605651-00052775,772016077-052775,1731352724-0000052775
Component 00000000008072,00002-00001-00012-8072,00003-00006-00009-102423,1820639874-008072,1597941976-008072,1375244078-0008072,1757210056-008072,723215899-00008072,1868559005-008072,1915264698-0000008072
Component 00000000049627,00002-00004-00006-49627,00004-00006-00008-30519,396420775-049627,1584998392-049627,626092362-0049627,1134118554-049627,1633681410-00049627,1613571569-049627,242154498-0000049627
Component 00000000098288,00003-00001-00008-98288,00001-00003-00004-34051,83984269-098288,1264521668-098288,297575420-0098288,431731475-098288,971495421-00098288,915204599-098288,2007530470-0000098288
Component 00000000092500,00002-00005-92500,00003-00009-119063,1490931112-092500,738647892-092500,2133848319-0092500,1512416941-092500,978865747-00092500,1888558551-092500,289314223-0000092500
Component 00000000108656,00001-00002-00002-108656,00004-00004-00003-77249,598541413-108656,1280027602-108656,1961513791-0108656,364625051-108656,1252161400-00108656,1097623780-108656,1983797137-0000108656
Component 00000000022517,00002-00005-00001-22517,00002-00005-00007-12682,1910732425-022517,165197009-022517,567145240-0022517,1004126982-022517,1141869474-00022517,1876894690-022517,1100361455-0000022517
Component 00000000110321,00001-00001-00003-110321,00004-00001-00010-309,484426678-110321,1655873082-110321,679835839-0110321,1465002450-110321,2050221371-00110321,879279248-110321,1804860527-0000110321
Component 00000000087908,00003-00002-00002-87908,00003-00003-00001-113998,1139530643-087908,1825542199-087908,364070108-0087908,51352757-087908,916262271-00087908,1855830626-087908,1243296955-0000087908
Component 00000000100538,00003-00004-00009-100538,00001-97020,2126826129-100538,227989676-100538,476636870-0100538,1301313156-100538,58077186-00100538,1176989559-100538,423559400-0000100538
Component 00000000036067,00002-00003-00005-36067,00001-00006-00011-21461,1189839234-036067,1731580272-036067,125837663-0036067,1694475813-036067,1133254270-00036067,1423605294-036067,1102587674-0000036067
Component 00000000066749,00004-00004-00007-66749,00001-00006-00004-15721,519160132-066749,1795825837-066749,925007895-0066749,1234162885-066749,1293285301-00066749,1669571856-066749,632904429-0000066749
Component 00000000061496,00001-00001-00006-61496,00002-00004-115717,464617671-061496,545149586-061496,625681501-0061496,1149190078-061496,746530503-00061496,35182297-061496,1816423391-0000061496
Component 00000000042188,00003-00006-00003-42188,00001-00001-00002-69266,248234252-042188,725391607-042188,1202548962-0042188,841787676-042188,603484548-00042188,1676950822-042188,471892990-0000042188
Component 00000000031305,00001-00001-31305,00002-00003-00002-11637,1288492299-031305,1557621465-031305,1826750631-0031305,1456354968-031305,110709138-00031305,1321790385-031305,1570492600-0000031305
Component 00000000040195,00001-00012-40195,00005-00012-13480,1924151009-040195,1997132589-040195,2070114169-0040195,1168790345-040195,803882445-00040195,1132299555-040195,1077005979-0000040195
Component 00000000006500,00004-6500,00002-00001-00010-58367,1379537876-006500,782085111-006500,184632346-0006500,1394108008-006500,86404539-00006500,619092567-006500,49206656-0000006500
Component 00000000067243,00003-00001-00007-67243,00003-00006-29568,1624956826-067243,1929443574-067243,86446675-0067243,1360178575-067243,1985228482-00067243,1207935201-067243,1950468109-0000067243
Component 00000000067067,00002-67067,00001-00002-00008-24656,2128817493-067067,1702452067-067067,1276086641-0067067,777447155-067067,761790638-00067067,990629868-067067,1154585493-0000067067
Component 00000000106214,00004-00003-00004-106214,00003-00002-00003-8843,1471455263-106214,1815840093-106214,12741276-0106214,994250342-106214,1419809839-00106214,822057927-106214,877901080-0000106214
Component 00000000118296,00001-00003-00009-118296,00001-00004-00011-39596,656725475-118296,1794292889-118296,784376656-0118296,2141653879-118296,748784103-00118296,1572870172-118296,1552475043-0000118296
Component 00000000005849,00004-00004-00012-5849,00004-00005-00011-40129,435200733-005849,1166987194-005849,1898773655-0005849,493363916-005849,1129398905-00005849,1201212509-005849,385076731-0000005849
Component 00000000071914,00004-00003-00011-71914,00004-00001-00011-36814,1922267632-071914,412064101-071914,1049344217-0071914,618098553-071914,1726665267-00071914,299458495-071914,118652702-0000071914
Component 00000000097158,00003-00005-00009-97158,00006-00012-2365,1827519862-097158,423529339-097158,1167022463-0097158,1379714377-097158,1957216051-00097158,1007967815-097158,288635018-0000097158
Component 00000000102487,00002-00008-102487,00002-00004-00004-28032,1330014018-102487,269225870-102487,1355921369-0102487,1421396368-102487,282886167-00102487,1951790442-102487,595791037-0000102487
Component 00000000010583,00003-00006-00001-10583,00001-00002-00003-49156,29384804-010583,1711600880-010583,1246333309-0010583,12485904-010583,191340112-00010583,1318861513-010583,1339373028-0000010583
Component 00000000000048,00003-00006-00009-48,00012-1260,976971510-000048,2133910817-000048,1143366477-0000048,180211254-000048,837965660-00000048,675483424-000048,1942132744-0000000048
Component 00000000072013,00003-00004-00006-72013,00001-00005-00004-39576,1076338590-072013,1642312490-072013,60802743-0072013,608785329-072013,2073883123-00072013,325798379-072013,223125695-0000072013
Component 00000000111764,00004-00002-00003-111764,00002-00005-00005-40682,1781260980-111764,1926345034-111764,2071429088-0111764,227903011-111764,1649966388-00111764,155360984-111764,2033370884-0000111764
Component 00000000002724,00004-00001-00007-2724,00004-00002-00011-76204,68112098-002724,1150381563-002724,85167381-0002724,2092315446-002724,975935415-00002724,477438890-002724,976176362-0000002724
Component 00000000061855,00003-00001-61855,00002-00002-00006-2242,1591580307-061855,213419286-061855,982741912-0061855,249022022-061855,697376186-00061855,2011844356-061855,1369464901-0000061855
Component 00000000034124,00004-00006-00012-34124,00004-00003-00007-90604,942988746-034124,1306793171-034124,1670597596-0034124,333892359-034124,662353881-00034124,1225731970-034124,1795490048-0000034124
Component 00000000111178,00003-00004-00002-111178,00003-00008-24318,1676053747-111178,158039797-111178,787509494-0111178,1066821170-111178,66956332-00111178,1825828145-111178,851235398-0000111178
Component 00000000092706,00001-00005-00003-92706,00001-00003-00004-1291,1713047569-092706,593351909-092706,1621139896-0092706,1094899234-092706,250926593-00092706,1654747064-092706,1139052918-0000092706
Component 00000000011133,00003-00003-00005-11133,00003-00010-64568,974114939-011133,1345620907-011133,1717126875-0011133,1812285211-011133,2102239018-00011133,1626532227-011133,922508857-0000011133
Component 00000000044960,00006-00006-44960,00006-00004-23365,1484982424-044960,365697336-044960,1393895895-0044960,886746831-044960,40721330-00044960,1446389375-044960,1501771818-0000044960
Component 00000000016454,00004-00004-00009-16454,00004-00006-00007-90019,839199246-016454,1805720816-016454,624758739-0016454,470855157-016454,2080698248-00016454,2135078019-016454,701558889-0000016454
Component 00000000086020,00004-00012-86020,00001-00002-00009-61161,1594102312-086020,822656577-086020,51210842-0086020,1759947987-086020,1322209368-00086020,1071929031-086020,1651293475-0000086020
Component 00000000106689,00004-00002-00011-106689,00003-00004-00012-22138,1729248889-106689,1091206900-106689,453164911-0106689,1922725304-106689,817967955-00106689,1168004475-106689,480256764-0000106689
Component 00000000002344,00004-00006-00004-2344,00002-00004-65550,1310725285-002344,1087828711-002344,864932137-0002344,1237659681-002344,204658904-00002344,1349107968-002344,1435368745-0000002344
Component 00000000020759,00004-00004-00011-20759,00004-00004-00009-86979,1289675773-020759,1849540631-020759,261921842-0020759,525833975-020759,2021476979-00020759,245901546-020759,124854712-0000020759
